energy (keV),Effective Area (cm^2)
0.3,286.379168227996
0.31,286.675410672939
0.32,286.889298524687
0.33,287.041891414765
0.34,287.150637260779
0.35,287.229228818036
0.36,287.291527167427
0.37,287.3749516533
0.38,287.610645768171
0.39,287.80546589057
0.4,287.954268578704
0.41,288.053326038061
0.42,288.13427710726
0.43,288.171986707386
0.44,288.195738513171
0.45,288.190023123735
0.46,288.164375944108
0.47,288.128608966632
0.48,288.067353680359
0.49,288.006833495296
0.5,288.033393839502
0.51,288.32027948748
0.52,288.532343388911
0.53,288.690140443757
0.54,288.801298522107
0.55,288.866714635119
0.56,288.887220152248
0.57,288.861051809962
0.58,288.778626468129
0.59,288.644706189253
0.6,288.449886841493
0.61,288.133126117057
0.62,287.562291026548
0.63,286.907062245307
0.64,286.216870617877
0.65,285.471958858676
0.66,284.661899704756
0.67,283.777492323789
0.68,282.806159009567
0.69,281.733054807422
0.7,280.551213110252
0.71,279.270699279712
0.72,278.246390303498
0.73,277.641490735429
0.74,277.135281927763
0.75,275.899472240744
0.76,272.535369544218
0.77,269.001596664692
0.78,264.608896507123
0.79,258.953125750242
0.8,251.51225949954
0.81,241.013190761401
0.82,224.123453516702
0.83,192.302567396299
0.84,90.371413532078
0.85,1.23429644962328
0.86,28.770578944254
0.87,62.078034960159
0.88,75.5518698852979
0.89,83.8075460441588
0.9,90.681068800554
0.91,96.4612435931816
0.92,100.94151856081
0.93,104.643646592833
0.94,107.93586438217
0.95,110.569250063464
0.96,112.440262375593
0.97,113.822948580225
0.98,114.044400504346
0.99,112.888353598343
1,110.970732651407
1.01,112.095771240693
1.02,114.493973622436
1.03,118.877986434838
1.04,121.506660758851
1.05,123.667029698658
1.06,125.520632456538
1.07,127.316559798582
1.08,128.949471907772
1.09,130.424681652853
1.1,131.883207274756
1.11,133.123345028857
1.12,134.396636331727
1.13,135.503310583754
1.14,136.610393867962
1.15,137.622246157365
1.16,138.595109007138
1.17,139.523750609537
1.18,140.387063185135
1.19,141.241863742559
1.2,142.0150386718
1.21,142.803187375952
1.22,143.502627646902
1.23,144.23106579212
1.24,144.876638321305
1.25,145.558969778471
1.26,146.158132938755
1.27,146.792982168522
1.28,147.352318711347
1.29,147.941360298539
1.3,148.457670846733
1.31,148.989718669814
1.32,149.469616124413
1.33,149.950855897133
1.34,150.401167759949
1.35,150.834416903897
1.36,151.259720645733
1.37,151.645954723149
1.38,152.050531959652
1.39,152.394342666035
1.4,152.781225298864
1.41,153.086259483103
1.42,153.429020757476
1.43,153.727485016729
1.44,154.029889770878
1.45,154.328623276199
1.46,154.603499299606
1.47,154.90781508512
1.48,155.154334180863
1.49,155.435822290349
1.5,155.704525301506
1.51,155.986971706597
1.52,156.270946316598
1.53,156.501503839942
1.54,156.76546140889
1.55,156.967276615773
1.56,157.180333289766
1.57,157.389643682202
1.58,157.558232855697
1.59,157.756172707098
1.6,157.901813942529
1.61,158.054343140252
1.62,158.212903647215
1.63,158.323101215898
1.64,158.45880211791
1.65,158.563590930685
1.66,158.655838022533
1.67,158.772408107308
1.68,158.827599830641
1.69,158.900501537752
1.7,158.97534013555
1.71,159.008946445805
1.72,159.063095153896
1.73,159.107771796894
1.74,159.142030330546
1.75,159.196467338251
1.76,159.213918897939
1.77,159.226841706644
1.78,159.258697215745
1.79,159.239620741984
1.8,159.22787150941
1.81,159.233568938689
1.82,159.178153391879
1.83,159.137798529141
1.84,159.107965831265
1.85,159.025119634883
1.86,158.955828268693
1.87,158.893695876032
1.88,158.779411521096
1.89,158.677057272218
1.9,158.582247959045
1.91,158.43753404862
1.92,158.303143722671
1.93,158.179378759107
1.94,158.003084813009
1.95,157.835483743043
1.96,157.677063872556
1.97,157.472982630451
1.98,157.268702018549
1.99,157.071774097519
2,156.833883239
2.01,156.581464872417
2.02,156.334121114754
2.03,156.07851910393
2.04,155.812942238781
2.05,155.551490212762
2.06,155.28357348913
2.07,154.978630466064
2.08,154.675914826823
2.09,154.375509685016
2.1,154.031468127037
2.11,153.68162134211
2.12,153.331884790558
2.13,152.960430988443
2.14,152.565914930898
2.15,152.169387044913
