wave_A  EA1_lo_cm2  EA1_hi_cm2
32.000000  3.09540489e-01  3.74645108e-01
32.032000  3.08149886e-01  3.75482918e-01
32.064000  3.06757213e-01  3.76321172e-01
32.096000  3.05362477e-01  3.77159867e-01
32.128000  3.03965141e-01  3.77998333e-01
32.160000  3.02564075e-01  3.78835134e-01
32.192000  3.01160980e-01  3.79672365e-01
32.224000  2.99755860e-01  3.80510026e-01
32.256000  2.98348720e-01  3.81348117e-01
32.288000  2.96939531e-01  3.82255003e-01
32.320000  2.95526007e-01  3.83198305e-01
32.352000  2.94110500e-01  3.84142146e-01
32.384000  2.92693014e-01  3.85086526e-01
32.416000  2.91273555e-01  3.86031443e-01
32.448000  2.89852126e-01  3.86976898e-01
32.480000  2.88429702e-01  3.87924195e-01
32.512000  2.87005662e-01  3.88872515e-01
32.544000  2.85579651e-01  3.89821378e-01
32.576000  2.84151674e-01  3.90770783e-01
32.608000  2.82721735e-01  3.91720730e-01
32.640000  2.81289165e-01  3.92670281e-01
32.672000  2.79853617e-01  3.93618916e-01
32.704000  2.78416138e-01  3.94568082e-01
32.736000  2.76976732e-01  3.95517777e-01
32.768000  2.75535404e-01  3.96468002e-01
32.800000  2.74092157e-01  3.97418756e-01
32.832000  2.72645352e-01  3.98367635e-01
32.864000  2.71196653e-01  3.99317028e-01
32.896000  2.69746066e-01  3.99543522e-01
32.928000  2.68293595e-01  3.79437316e-01
32.960000  2.66839245e-01  3.70097725e-01
32.992000  2.65333134e-01  3.70037704e-01
33.024000  2.63705784e-01  3.70075473e-01
33.056000  2.62098035e-01  3.70144646e-01
33.088000  2.60486683e-01  3.70212850e-01
33.120000  2.58871737e-01  3.70280091e-01
33.152000  2.57253163e-01  3.70346310e-01
33.184000  2.55629911e-01  3.70409972e-01
33.216000  2.54003105e-01  3.70472678e-01
33.248000  2.52372754e-01  3.70534430e-01
33.280000  2.50738868e-01  3.70595232e-01
33.312000  2.49101454e-01  3.70655086e-01
33.344000  2.47459916e-01  3.70713088e-01
33.376000  2.45814187e-01  3.70769109e-01
33.408000  2.44164975e-01  3.70824190e-01
33.440000  2.42512287e-01  3.70878336e-01
33.472000  2.40856132e-01  3.70931547e-01
33.504000  2.39196519e-01  3.70983827e-01
33.536000  2.37531942e-01  3.71032814e-01
33.568000  2.35863650e-01  3.71080413e-01
33.600000  2.34191951e-01  3.71127088e-01
33.632000  2.32516854e-01  3.71172844e-01
33.664000  2.30838365e-01  3.71217683e-01
33.696000  2.29156265e-01  3.71261235e-01
33.728000  2.27416692e-01  3.71301684e-01
33.760000  2.25620223e-01  3.71341223e-01
33.792000  2.23820249e-01  3.71379857e-01
33.824000  2.22016777e-01  3.71417587e-01
33.856000  2.20209816e-01  3.71454416e-01
33.888000  2.18398876e-01  3.71489502e-01
33.920000  2.16589577e-01  3.71522380e-01
33.952000  2.16650382e-01  3.71554365e-01
33.984000  2.16710740e-01  3.71585460e-01
34.016000  2.16771276e-01  3.71616740e-01
34.048000  2.16831990e-01  3.71648202e-01
34.080000  2.16890583e-01  3.71675906e-01
34.112000  2.16947493e-01  3.71700607e-01
34.144000  2.17003958e-01  3.71724424e-01
34.176000  2.17059978e-01  3.71747359e-01
34.208000  2.17115555e-01  3.71769415e-01
34.240000  2.17170690e-01  3.71790594e-01
34.272000  2.17224207e-01  3.71808884e-01
34.304000  2.17276766e-01  3.71825416e-01
34.336000  2.17328887e-01  3.71841080e-01
34.368000  2.17380572e-01  3.71855878e-01
34.400000  2.17431821e-01  3.71869814e-01
34.432000  2.17482636e-01  3.71882889e-01
34.464000  2.17531879e-01  3.71893157e-01
34.496000  2.17580306e-01  3.71901914e-01
34.528000  2.17628303e-01  3.71909819e-01
34.560000  2.17675870e-01  3.71916874e-01
34.592000  2.17723010e-01  3.71923081e-01
34.624000  2.17769723e-01  3.71928443e-01
34.656000  2.17811551e-01  3.71925347e-01
34.688000  2.17851351e-01  3.71715923e-01
34.720000  2.17890725e-01  3.70853967e-01
34.752000  2.17929676e-01  3.69989955e-01
34.784000  2.17968204e-01  3.69123894e-01
34.816000  2.18006310e-01  3.68255789e-01
34.848000  2.18043007e-01  3.67383979e-01
34.880000  2.18078765e-01  3.66509270e-01
34.912000  2.18114105e-01  3.65632546e-01
34.944000  2.18149028e-01  3.64753812e-01
34.976000  2.18183535e-01  3.63873073e-01
35.008000  2.18205387e-01  3.62969973e-01
35.040000  2.18189283e-01  3.62002695e-01
35.072000  2.18172027e-01  3.61032633e-01
35.104000  2.18154508e-01  3.60061269e-01
35.136000  2.18136727e-01  3.59088607e-01
35.168000  2.18118685e-01  3.58114648e-01
35.200000  2.18100382e-01  3.57139397e-01
35.232000  2.18081328e-01  3.56162053e-01
35.264000  2.18060797e-01  3.60437837e-01
35.296000  2.18040009e-01  3.60576830e-01
35.328000  2.18018964e-01  3.60715548e-01
35.360000  2.17997664e-01  3.60853992e-01
35.392000  2.17976108e-01  3.60992161e-01
35.424000  2.17954297e-01  3.61130057e-01
35.456000  2.17930676e-01  3.61265100e-01
35.488000  2.17906799e-01  3.61399866e-01
35.520000  2.17882671e-01  3.61534359e-01
35.552000  2.17960470e-01  3.61668581e-01
35.584000  2.18070496e-01  3.61802533e-01
35.616000  2.18180383e-01  3.61936216e-01
35.648000  2.18288921e-01  3.62067618e-01
35.680000  2.18396626e-01  3.62197600e-01
35.712000  2.18504194e-01  3.62327313e-01
35.744000  2.18611623e-01  3.62456758e-01
35.776000  2.18718916e-01  3.62585936e-01
35.808000  2.18826072e-01  3.62714848e-01
35.840000  2.18932753e-01  3.62842934e-01
35.872000  2.19037949e-01  3.62968519e-01
35.904000  2.19143008e-01  3.63093838e-01
35.936000  2.19247931e-01  3.63218893e-01
35.968000  2.19352717e-01  3.63343684e-01
36.000000  2.19457368e-01  3.63468211e-01
36.032000  2.19519482e-01  3.63522258e-01
36.064000  2.19580324e-01  3.63574182e-01
36.096000  2.19640563e-01  3.63625087e-01
36.128000  2.19700743e-01  3.63675877e-01
36.160000  2.19760865e-01  3.63726552e-01
36.192000  2.19820929e-01  3.63777111e-01
36.224000  2.19880935e-01  3.63827557e-01
36.256000  2.19940673e-01  3.63877541e-01
36.288000  2.19998537e-01  3.63924407e-01
36.320000  2.19870584e-01  3.63971159e-01
36.352000  2.19474458e-01  3.64017797e-01
36.384000  2.19078116e-01  3.64064321e-01
36.416000  2.18681559e-01  3.64110731e-01
36.448000  2.18284787e-01  3.64157029e-01
36.480000  2.18091790e-01  3.64202102e-01
36.512000  2.18160972e-01  3.64245643e-01
36.544000  2.18230101e-01  3.64289072e-01
36.576000  2.18299178e-01  3.64332388e-01
36.608000  2.18368202e-01  3.64375593e-01
36.640000  2.18437174e-01  3.64418686e-01
36.672000  2.18506093e-01  3.64461667e-01
36.704000  2.18573575e-01  3.64502227e-01
36.736000  2.18640399e-01  3.64541669e-01
36.768000  2.18707171e-01  3.64580999e-01
36.800000  2.18773890e-01  3.64620219e-01
36.832000  2.18840556e-01  3.64659328e-01
36.864000  2.18907169e-01  3.64698327e-01
36.896000  2.18973730e-01  3.64737216e-01
36.928000  2.19038744e-01  3.64773506e-01
36.960000  2.19103488e-01  3.64809326e-01
36.992000  2.19168179e-01  3.64845035e-01
37.024000  2.19234876e-01  3.64972602e-01
37.056000  2.19302203e-01  3.65228985e-01
37.088000  2.19369473e-01  3.65485323e-01
37.120000  2.19436686e-01  3.65741616e-01
37.152000  2.19501929e-01  3.65994674e-01
37.184000  2.19567051e-01  3.66247578e-01
37.216000  2.19632115e-01  3.66500432e-01
37.248000  2.19697122e-01  3.66753236e-01
37.280000  2.19762071e-01  3.67005992e-01
37.312000  2.19826963e-01  3.67258698e-01
37.344000  2.19891797e-01  3.67511355e-01
37.376000  2.19954978e-01  3.67761294e-01
37.408000  2.20018068e-01  3.68011125e-01
37.440000  2.20081100e-01  3.68260904e-01
37.472000  2.20144074e-01  3.68510630e-01
37.504000  2.20206991e-01  3.68760304e-01
37.536000  2.20269851e-01  3.69009926e-01
37.568000  2.20332653e-01  3.79436479e-01
37.600000  2.20393555e-01  3.79622564e-01
37.632000  2.20454211e-01  3.79808247e-01
37.664000  2.20514808e-01  3.79993855e-01
37.696000  2.20575347e-01  3.80179386e-01
37.728000  2.20635829e-01  3.80364841e-01
37.760000  2.20696253e-01  3.80550220e-01
37.792000  2.20756620e-01  3.80735524e-01
37.824000  2.20815466e-01  3.80918229e-01
37.856000  2.20873761e-01  3.81100004e-01
37.888000  2.20931998e-01  3.81281701e-01
37.920000  2.20990177e-01  3.81463320e-01
37.952000  2.21048297e-01  3.81644859e-01
37.984000  2.21106360e-01  3.81826321e-01
38.016000  2.21188460e-01  3.82049323e-01
38.048000  2.21293525e-01  3.82312038e-01
38.080000  2.21397442e-01  3.82572827e-01
38.112000  2.21501218e-01  3.82833427e-01
38.144000  2.21604853e-01  3.83093838e-01
38.176000  2.21708347e-01  3.83354061e-01
38.208000  2.21811701e-01  3.83614096e-01
38.240000  2.21914915e-01  3.83873944e-01
38.272000  2.22017725e-01  3.84133146e-01
38.304000  2.22119049e-01  3.84389833e-01
38.336000  2.22220232e-01  3.84646329e-01
38.368000  2.22395943e-01  3.84902635e-01
38.400000  2.22644407e-01  3.85158753e-01
38.432000  2.22892821e-01  3.85414681e-01
38.464000  2.23141184e-01  3.85670422e-01
38.496000  2.23389497e-01  3.85925975e-01
38.528000  2.23636026e-01  3.86178344e-01
38.560000  2.23881881e-01  3.86429455e-01
38.592000  2.24127681e-01  3.86680372e-01
38.624000  2.24373425e-01  3.86931098e-01
38.656000  2.24619114e-01  3.87181632e-01
38.688000  2.24864747e-01  3.87431975e-01
38.720000  2.25110325e-01  3.87682128e-01
38.752000  2.25355496e-01  3.87931486e-01
38.784000  2.25599343e-01  3.88178470e-01
38.816000  2.25843130e-01  3.88425260e-01
38.848000  2.26086858e-01  3.88671857e-01
38.880000  2.26330526e-01  3.88918261e-01
38.912000  2.26574136e-01  3.89164473e-01
38.944000  2.26817686e-01  3.89410493e-01
38.976000  2.27061177e-01  3.89656322e-01
39.008000  2.27322427e-01  3.89932521e-01
39.040000  2.27640371e-01  3.90305812e-01
39.072000  2.27958217e-01  3.90678732e-01
39.104000  2.28275965e-01  3.91051283e-01
39.136000  2.29719641e-01  3.91423464e-01
39.168000  2.31955630e-01  3.91795278e-01
39.200000  2.32837876e-01  3.92166725e-01
39.232000  2.33058106e-01  3.92537806e-01
39.264000  2.33276515e-01  3.92892515e-01
39.296000  2.33494505e-01  3.93231972e-01
39.328000  2.33712272e-01  3.93571025e-01
39.360000  2.33929818e-01  3.93909676e-01
39.392000  2.34147143e-01  3.94247926e-01
39.424000  2.34364248e-01  3.94585776e-01
39.456000  2.34581132e-01  3.94923227e-01
