wave_A  modfactor_lo  modfactor_hi
32.000000  0.94100000  0.92840000
32.032000  0.94101600  0.92839040
32.064000  0.94103200  0.92838080
32.096000  0.94104800  0.92837120
32.128000  0.94106400  0.92836160
32.160000  0.94108000  0.92835200
32.192000  0.94109600  0.92834240
32.224000  0.94111200  0.92833280
32.256000  0.94112800  0.92832320
32.288000  0.94114400  0.92831360
32.320000  0.94116000  0.92830400
32.352000  0.94117600  0.92829440
32.384000  0.94119200  0.92828480
32.416000  0.94120800  0.92827520
32.448000  0.94122400  0.92826560
32.480000  0.94124000  0.92825600
32.512000  0.94125600  0.92824640
32.544000  0.94127200  0.92823680
32.576000  0.94128800  0.92822720
32.608000  0.94130400  0.92821760
32.640000  0.94132000  0.92820800
32.672000  0.94133600  0.92819840
32.704000  0.94135200  0.92818880
32.736000  0.94136800  0.92817920
32.768000  0.94138400  0.92816960
32.800000  0.94140000  0.92816000
32.832000  0.94141600  0.92815040
32.864000  0.94143200  0.92814080
32.896000  0.94144800  0.92813120
32.928000  0.94146400  0.92812160
32.960000  0.94148000  0.92811200
32.992000  0.94149600  0.92810240
33.024000  0.94151200  0.92809280
33.056000  0.94152800  0.92808320
33.088000  0.94154400  0.92807360
33.120000  0.94156000  0.92806400
33.152000  0.94157600  0.92805440
33.184000  0.94159200  0.92804480
33.216000  0.94160800  0.92803520
33.248000  0.94162400  0.92802560
33.280000  0.94164000  0.92801600
33.312000  0.94165600  0.92800640
33.344000  0.94167200  0.92799680
33.376000  0.94168800  0.92798720
33.408000  0.94170400  0.92797760
33.440000  0.94172000  0.92796800
33.472000  0.94173600  0.92795840
33.504000  0.94175200  0.92794880
33.536000  0.94176800  0.92793920
33.568000  0.94178400  0.92792960
33.600000  0.94180000  0.92792000
33.632000  0.94181600  0.92791040
33.664000  0.94183200  0.92790080
33.696000  0.94184800  0.92789120
33.728000  0.94186400  0.92788160
33.760000  0.94188000  0.92787200
33.792000  0.94189600  0.92786240
33.824000  0.94191200  0.92785280
33.856000  0.94192800  0.92784320
33.888000  0.94194400  0.92783360
33.920000  0.94196000  0.92782400
33.952000  0.94197600  0.92781440
33.984000  0.94199200  0.92780480
34.016000  0.94200800  0.92779520
34.048000  0.94202400  0.92778560
34.080000  0.94204000  0.92777600
34.112000  0.94205600  0.92776640
34.144000  0.94207200  0.92775680
34.176000  0.94208800  0.92774720
34.208000  0.94210400  0.92773760
34.240000  0.94212000  0.92772800
34.272000  0.94213600  0.92771840
34.304000  0.94215200  0.92770880
34.336000  0.94216800  0.92769920
34.368000  0.94218400  0.92768960
34.400000  0.94220000  0.92768000
34.432000  0.94221600  0.92767040
34.464000  0.94223200  0.92766080
34.496000  0.94224800  0.92765120
34.528000  0.94226400  0.92764160
34.560000  0.94228000  0.92763200
34.592000  0.94229600  0.92762240
34.624000  0.94231200  0.92761280
34.656000  0.94232800  0.92760320
34.688000  0.94234400  0.92759360
34.720000  0.94236000  0.92758400
34.752000  0.94237600  0.92757440
34.784000  0.94239200  0.92756480
